COUNTY,MUNICIPALITY,CLASS
Bedford,Pavia Township Pennsylvania,2nd Township
Bedford,Pleasantville Borough Pennsylvania,Borough
Bedford,Rainsburg Borough Pennsylvania,Borough
Bedford,Saxton Borough Pennsylvania,Borough
Bedford,Schellsburg Borough Pennsylvania,Borough
Bedford,Snake Spring Township Pennsylvania,2nd Township
Bedford,South Woodbury Township Pennsylvania,2nd Township
Bedford,Southampton Township Pennsylvania,2nd Township
Bedford,St Clairsville Borough Pennsylvania,Borough
Bedford,West Providence Township Pennsylvania,2nd Township
Bedford,West St Clair Township Pennsylvania,2nd Township
Bedford,Woodbury Borough Pennsylvania,Borough
Bedford,Woodbury Township Pennsylvania,2nd Township
Berks,Albany Township Pennsylvania,2nd Township
Berks,Alsace Township Pennsylvania,2nd Township
Berks,Amity Township Pennsylvania,2nd Township
Berks,Bally Borough Pennsylvania,Borough
Berks,Bechtelsville Borough Pennsylvania,Borough
Berks,Bern Township Pennsylvania,2nd Township
Berks,Bernville Borough Pennsylvania,Borough
Berks,Bethel Township Pennsylvania,2nd Township
Berks,Birdsboro Borough Pennsylvania,Borough
Berks,Boyertown Borough Pennsylvania,Borough
Berks,Brecknock Township Pennsylvania,2nd Township
Berks,Caernarvon Township Pennsylvania,2nd Township
Berks,Centerport Borough Pennsylvania,Borough
Berks,Centre Township Pennsylvania,2nd Township
Berks,Colebrookdale Township Pennsylvania,1st Township
Berks,Cumru Township Pennsylvania,1st Township
Berks,District Township Pennsylvania,2nd Township
Berks,Douglass Township Pennsylvania,2nd Township
Berks,Earl Township Pennsylvania,2nd Township
Berks,Exeter Township Pennsylvania,2nd Township
Berks,Fleetwood Borough Pennsylvania,Borough
Berks,Greenwich Township Pennsylvania,2nd Township
Berks,Hamburg Borough Pennsylvania,Borough
Berks,Heidelberg Township Pennsylvania,2nd Township
Berks,Hereford Township Pennsylvania,2nd Township
Berks,Jefferson Township Pennsylvania,2nd Township
Berks,Kenhorst Borough Pennsylvania,Borough
Berks,Kutztown Borough Pennsylvania,Borough
Berks,Laureldale Borough Pennsylvania,Borough
Berks,Leesport Borough Pennsylvania,Borough
Berks,Lenhartsville Borough Pennsylvania,Borough
Berks,Longswamp Township Pennsylvania,2nd Township
Berks,Lower Alsace Township Pennsylvania,2nd Township
Berks,Lower Heidelberg Township Pennsylvania,2nd Township
Berks,Lyons Borough Pennsylvania,Borough
Berks,Maidencreek Township Pennsylvania,2nd Township
Berks,Marion Township Pennsylvania,2nd Township
Berks,Maxatawny Township Pennsylvania,2nd Township
Berks,Mohnton Borough Pennsylvania,Borough
Berks,Mt Penn Borough Pennsylvania,Borough
Berks,Muhlenberg Township Pennsylvania,1st Township
Berks,New Morgan Borough Pennsylvania,Borough
Berks,North Heidelberg Township Pennsylvania,2nd Township
Berks,Oley Township Pennsylvania,2nd Township
Berks,Ontelaunee Township Pennsylvania,2nd Township
Berks,Penn Township Pennsylvania,2nd Township
Berks,Perry Township Pennsylvania,2nd Township
Berks,Pike Township Pennsylvania,2nd Township
Berks,Reading City Pennsylvania,City
Berks,Richmond Township Pennsylvania,2nd Township
Berks,Robeson Township Pennsylvania,2nd Township
Berks,Robesonia Borough Pennsylvania,Borough
Berks,Rockland Township Pennsylvania,2nd Township
Berks,Ruscombmanor Township Pennsylvania,2nd Township
Berks,Shillington Borough Pennsylvania,Borough
Berks,Shoemakersville Borough Pennsylvania,Borough
Berks,Sinking Spring Borough Pennsylvania,Borough
Berks,South Heidelberg Township Pennsylvania,2nd Township
Berks,Spring Township Pennsylvania,2nd Township
Berks,St Lawrence Borough Pennsylvania,Borough
Berks,Tilden Township Pennsylvania,2nd Township
Berks,Topton Borough Pennsylvania,Borough
Berks,Tulpehocken Township Pennsylvania,2nd Township
Berks,Union Township Pennsylvania,2nd Township
Berks,Upper Bern Township Pennsylvania,2nd Township
Berks,Upper Tulpehocken Township Pennsylvania,2nd Township
Berks,Washington Township Pennsylvania,2nd Township
Berks,Wernersville Borough Pennsylvania,Borough
Berks,West Reading Borough Pennsylvania,Borough
Berks,Windsor Township Pennsylvania,2nd Township
Berks,Womelsdorf Borough Pennsylvania,Borough
Berks,Wyomissing Borough Pennsylvania,Borough
Blair,Allegheny Township Pennsylvania,2nd Township
Blair,Altoona City Pennsylvania,City
Blair,Antis Township Pennsylvania,2nd Township
Blair,Bellwood Borough Pennsylvania,Borough
Blair,Blair Township Pennsylvania,2nd Township
Blair,Catharine Township Pennsylvania,2nd Township
Blair,Duncansville Borough Pennsylvania,Borough
Blair,Frankstown Township Pennsylvania,2nd Township
Blair,Freedom Township Pennsylvania,2nd Township
Blair,Greenfield Township Pennsylvania,2nd Township
Blair,Hollidaysburg Borough Pennsylvania,Borough
Blair,Huston Township Pennsylvania,2nd Township
Blair,Juniata Township Pennsylvania,2nd Township
Blair,Logan Township Pennsylvania,2nd Township
Blair,Martinsburg Borough Pennsylvania,Borough
Blair,Newry Borough Pennsylvania,Borough
Blair,North Woodbury Township Pennsylvania,2nd Township
Blair,Roaring Spring Borough Pennsylvania,Borough
Blair,Snyder Township Pennsylvania,2nd Township
Blair,Taylor Township Pennsylvania,2nd Township
Blair,Tyrone Borough Pennsylvania,Borough
Blair,Tyrone Township Pennsylvania,2nd Township
Blair,Williamsburg Borough Pennsylvania,Borough
Blair,Woodbury Township Pennsylvania,2nd Township
Bradford,Alba Borough Pennsylvania,Borough
Bradford,Albany Township Pennsylvania,2nd Township
Bradford,Armenia Township Pennsylvania,2nd Township
Bradford,Asylum Township Pennsylvania,2nd Township
Bradford,Athens Borough Pennsylvania,Borough
Bradford,Athens Township Pennsylvania,2nd Township
Bradford,Burlington Borough Pennsylvania,Borough
Bradford,Burlington Township Pennsylvania,2nd Township
Bradford,Canton Borough Pennsylvania,Borough
Bradford,Canton Township Pennsylvania,2nd Township
Bradford,Columbia Township Pennsylvania,2nd Township
Bradford,Franklin Township Pennsylvania,2nd Township
Bradford,Granville Township Pennsylvania,2nd Township
Bradford,Herrick Township Pennsylvania,2nd Township
Bradford,Leraysville Borough Pennsylvania,Borough
Bradford,Leroy Township Pennsylvania,2nd Township
Bradford,Litchfield Township Pennsylvania,2nd Township
Bradford,Monroe Borough Pennsylvania,Borough
Bradford,Monroe Township Pennsylvania,2nd Township
Bradford,New Albany Borough Pennsylvania,Borough
Bradford,North Towanda Township Pennsylvania,2nd Township
Bradford,Orwell Township Pennsylvania,2nd Township
Bradford,Overton Township Pennsylvania,2nd Township
Bradford,Pike Township Pennsylvania,2nd Township
Bradford,Ridgebury Township Pennsylvania,2nd Township
Bradford,Rome Borough Pennsylvania,Borough
Bradford,Rome Township Pennsylvania,2nd Township
Bradford,Sayre Borough Pennsylvania,Borough
Bradford,Sheshequin Township Pennsylvania,2nd Township
Bradford,Smithfield Township Pennsylvania,2nd Township
Bradford,South Creek Township Pennsylvania,2nd Township
Bradford,South Waverly Borough Pennsylvania,Borough
Bradford,Springfield Township Pennsylvania,2nd Township
Bradford,Standing Stone Township Pennsylvania,2nd Township
Bradford,Stevens Township Pennsylvania,2nd Township
Bradford,Sylvania Borough Pennsylvania,Borough
Bradford,Terry Township Pennsylvania,2nd Township
Bradford,Towanda Borough Pennsylvania,Borough
Bradford,Towanda Township Pennsylvania,2nd Township
Bradford,Troy Borough Pennsylvania,Borough
Bradford,Troy Township Pennsylvania,2nd Township
Bradford,Tuscarora Township Pennsylvania,2nd Township
Bradford,Ulster Township Pennsylvania,2nd Township
Bradford,Warren Township Pennsylvania,2nd Township
Bradford,Wells Township Pennsylvania,2nd Township
Bradford,West Burlington Township Pennsylvania,2nd Township
Bradford,Wilmot Township Pennsylvania,2nd Township
Bradford,Windham Township Pennsylvania,2nd Township
Bradford,Wyalusing Borough Pennsylvania,Borough
Bradford,Wyalusing Township Pennsylvania,2nd Township
Bradford,Wysox Township Pennsylvania,2nd Township
Bucks,Bedminster Township Pennsylvania,2nd Township
Bucks,Bensalem Township Pennsylvania,2nd Township
Bucks,Bridgeton Township Pennsylvania,2nd Township
Bucks,Bristol Borough Pennsylvania,Borough
Bucks,Bristol Township Pennsylvania,1st Township
Bucks,Buckingham Township Pennsylvania,2nd Township
Bucks,Chalfont Borough Pennsylvania,Borough
Bucks,Doylestown Borough Pennsylvania,Borough
Bucks,Doylestown Township Pennsylvania,2nd Township
Bucks,Dublin Borough Pennsylvania,Borough
Bucks,Durham Township Pennsylvania,2nd Township
Bucks,East Rockhill Township Pennsylvania,2nd Township
Bucks,Falls Township Pennsylvania,2nd Township
Bucks,Haycock Township Pennsylvania,2nd Township
Bucks,Hilltown Township Pennsylvania,2nd Township
Bucks,Hulmeville Borough Pennsylvania,Borough
Bucks,Ivyland Borough Pennsylvania,Borough
Bucks,Langhorne Borough Pennsylvania,Borough
Bucks,Langhorne Manor Borough Pennsylvania,Borough
Bucks,Lower Makefield Township Pennsylvania,2nd Township
Bucks,Lower Southampton Township Pennsylvania,2nd Township
Bucks,Middletown Township Pennsylvania,2nd Township
Bucks,Milford Township Pennsylvania,2nd Township
Bucks,Morrisville Borough Pennsylvania,Borough
Bucks,New Britain Borough Pennsylvania,Borough
Bucks,New Britain Township Pennsylvania,2nd Township
Bucks,New Hope Borough Pennsylvania,Borough
Bucks,Newtown Borough Pennsylvania,Borough
Bucks,Newtown Township Pennsylvania,2nd Township
Bucks,Nockamixon Township Pennsylvania,2nd Township
Bucks,Northampton Township Pennsylvania,2nd Township
Bucks,Penndel Borough Pennsylvania,Borough
